epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4485,1.10496,7.0433,1.3644,0.81821,0.64249,0.80326,0.58594,1.0148,3.41694,1.13017,0.00329317,0.00329317,0.00329317
2,80.6096,0.99287,4.08266,1.2349,0.84288,0.55061,0.66861,0.4314,1.28514,3.95491,1.40581,0.00662651,0.00662651,0.00662651
3,114.041,1.04238,3.08961,1.26921,0.47136,0.76354,0.74389,0.499,1.2607,4.8356,1.53523,0.00995984,0.00995984,0.00995984
4,147.409,1.15516,2.70594,1.35073,0.5643,0.72756,0.74702,0.50321,1.42117,5.7228,1.68733,0.00999999,0.00999999,0.00999999
5,180.525,1.10594,2.25258,1.32336,0.70013,0.775,0.77284,0.56512,1.27693,4.69738,1.54614,0.00999998,0.00999998,0.00999998
6,213.995,1.08997,2.0934,1.29982,0.70937,0.84207,0.81887,0.55942,1.22286,2.97452,1.42027,0.00999998,0.00999998,0.00999998
7,247.637,1.06428,2.04165,1.28674,0.74183,0.77683,0.72596,0.56771,1.13512,2.79321,1.28085,0.00999996,0.00999996,0.00999996
8,281.149,1.02152,1.89979,1.24931,0.59356,0.74756,0.77653,0.53968,1.3942,2.32288,1.51261,0.00999995,0.00999995,0.00999995
9,314.483,1.00441,1.86776,1.25824,0.72898,0.80244,0.80855,0.62715,1.05139,1.8377,1.21571,0.00999994,0.00999994,0.00999994
10,348.156,0.99421,1.72974,1.23626,0.68513,0.7666,0.78983,0.58112,1.13165,1.85337,1.27073,0.00999992,0.00999992,0.00999992
11,381.477,0.95509,1.69551,1.21042,0.8389,0.84207,0.84686,0.65262,0.95916,2.12979,1.13827,0.0099999,0.0099999,0.0099999
12,414.934,0.96925,1.61667,1.21654,0.70899,0.81474,0.82044,0.58778,1.19419,2.02075,1.24916,0.00999988,0.00999988,0.00999988
13,448.143,0.94171,1.60036,1.19767,0.63179,0.87988,0.84095,0.64275,1.08829,1.63392,1.23202,0.00999986,0.00999986,0.00999986
14,480.372,0.93401,1.58017,1.19168,0.73685,0.80997,0.85255,0.65403,1.0685,1.63071,1.23712,0.00999983,0.00999983,0.00999983
15,513.229,0.92458,1.54718,1.18295,0.77488,0.80549,0.85712,0.66718,1.04182,1.47353,1.18666,0.00999981,0.00999981,0.00999981
16,546.698,0.91384,1.49941,1.17592,0.8474,0.80122,0.85282,0.67467,0.95001,1.51372,1.1018,0.00999978,0.00999978,0.00999978
17,581.001,0.90743,1.49404,1.16105,0.72988,0.82683,0.81822,0.6586,0.9995,1.59518,1.14028,0.00999975,0.00999975,0.00999975
18,614.07,0.87347,1.47293,1.14924,0.85461,0.79376,0.8227,0.64729,0.97925,1.40805,1.12742,0.00999972,0.00999972,0.00999972
19,646.799,0.8599,1.39901,1.13644,0.77412,0.84185,0.84959,0.66082,1.02615,1.5083,1.16137,0.00999968,0.00999968,0.00999968
20,679.722,0.86537,1.41592,1.13837,0.65766,0.85427,0.86461,0.68375,0.9267,1.40936,1.10954,0.00999965,0.00999965,0.00999965
21,712.884,0.8665,1.36913,1.14849,0.84743,0.86646,0.85209,0.68338,0.93625,1.51472,1.12094,0.00999961,0.00999961,0.00999961
22,745.81,0.8606,1.45221,1.15086,0.76274,0.82378,0.79365,0.64639,0.93131,1.42012,1.11411,0.00999957,0.00999957,0.00999957
23,778.973,0.86874,1.3796,1.15741,0.70516,0.79339,0.81831,0.64218,0.94174,1.50376,1.10883,0.00999953,0.00999953,0.00999953
24,811.86,0.8565,1.35404,1.14731,0.87169,0.83293,0.85974,0.70138,0.89487,1.38546,1.06811,0.00999948,0.00999948,0.00999948
25,844.754,0.84231,1.32211,1.12387,0.84926,0.86037,0.82778,0.66334,0.92385,1.36732,1.10003,0.00999944,0.00999944,0.00999944
26,878.286,0.81463,1.3178,1.11349,0.76462,0.87585,0.81844,0.65558,0.91438,1.2866,1.0919,0.00999939,0.00999939,0.00999939
27,911.2,0.81977,1.29455,1.10752,0.83334,0.81426,0.8453,0.67808,1.00148,1.37524,1.15398,0.00999934,0.00999934,0.00999934
28,944.241,0.81957,1.3186,1.1186,0.71687,0.88476,0.82324,0.65414,0.94648,1.37016,1.12211,0.00999929,0.00999929,0.00999929
29,976.897,0.81531,1.29633,1.11159,0.78563,0.83826,0.82899,0.65513,0.93433,1.31009,1.11644,0.00999923,0.00999923,0.00999923
30,1009.28,0.81869,1.26801,1.112,0.85198,0.83657,0.85136,0.68443,0.93639,1.39123,1.10542,0.00999918,0.00999918,0.00999918
31,1041.62,0.79993,1.25622,1.10504,0.74946,0.87706,0.83279,0.65589,0.90535,1.29801,1.10274,0.00999912,0.00999912,0.00999912
32,1074.24,0.79644,1.2654,1.09153,0.76049,0.83598,0.8314,0.66848,0.92428,1.43105,1.09602,0.00999906,0.00999906,0.00999906
33,1107.18,0.78147,1.27122,1.09346,0.85544,0.85122,0.83541,0.66988,0.96424,1.31321,1.12304,0.009999,0.009999,0.009999
34,1139.37,0.80158,1.29583,1.10405,0.77245,0.83902,0.8235,0.66087,0.98664,1.372,1.16293,0.00999894,0.00999894,0.00999894
35,1171.58,0.78545,1.23229,1.09385,0.86027,0.78033,0.85927,0.69518,0.91187,1.29022,1.10906,0.00999887,0.00999887,0.00999887
36,1204.37,0.77943,1.20924,1.08852,0.76376,0.85732,0.81122,0.65697,0.92935,1.29849,1.09609,0.0099988,0.0099988,0.0099988
37,1237.26,0.77232,1.21602,1.07962,0.81862,0.8107,0.83153,0.6703,0.94214,1.33982,1.11003,0.00999873,0.00999873,0.00999873
38,1270.77,0.76879,1.21092,1.08598,0.82655,0.81951,0.82614,0.67953,0.91619,1.29007,1.09852,0.00999866,0.00999866,0.00999866
39,1303.82,0.759,1.19835,1.07254,0.83423,0.79512,0.83229,0.68401,0.87868,1.30448,1.05287,0.00999859,0.00999859,0.00999859
40,1336.24,0.77401,1.19842,1.08047,0.85174,0.73613,0.78004,0.6303,0.93267,1.35231,1.10615,0.00999851,0.00999851,0.00999851
41,1369.28,0.7476,1.18356,1.0653,0.63402,0.76115,0.81045,0.67059,0.91974,1.42973,1.0835,0.00999844,0.00999844,0.00999844
42,1402.32,0.76633,1.1813,1.0718,0.87006,0.78375,0.80301,0.65684,0.88308,1.24832,1.06773,0.00999836,0.00999836,0.00999836
43,1435.46,0.73257,1.16787,1.05975,0.77734,0.85917,0.83857,0.67692,0.8979,1.30978,1.08593,0.00999828,0.00999828,0.00999828
44,1468.06,0.75463,1.17352,1.0774,0.81518,0.87501,0.83615,0.68841,0.8703,1.28811,1.05559,0.00999819,0.00999819,0.00999819
45,1501.28,0.74972,1.16819,1.0728,0.84601,0.85278,0.82293,0.66354,0.90594,1.27195,1.08645,0.00999811,0.00999811,0.00999811
46,1534.32,0.74065,1.1363,1.05756,0.82947,0.76502,0.8395,0.67642,0.89854,1.26126,1.07812,0.00999802,0.00999802,0.00999802
47,1567.23,0.74551,1.13603,1.06194,0.87992,0.83902,0.8506,0.70487,0.87408,1.18353,1.06507,0.00999793,0.00999793,0.00999793
48,1600.63,0.72888,1.12002,1.04713,0.86248,0.82073,0.85408,0.68106,0.92139,1.30387,1.11103,0.00999784,0.00999784,0.00999784
